Comment,Designator,Footprint,LCSC,Quantity
1M,R7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C107700,1
200k,R9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C114562,1
10u,L1,L_APV_APH0420,C1329533,1
8.2k,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C137399,1
1.6k,R16,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C137580,1
33k,R15,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C141696,1
1n,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15177,1
1.2k,R17,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17379,1
10k,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414,1
15k,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17475,1
0,"R10,R11,R12,R13,R14",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17477,5
4.7k,"R1,R4,R8",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17673,3
680k,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17797,1
1u,C3,C_1206_3216Metric,C1848,1
BZX84C18,D1,SOT-23,C19077473,1
MMBTA06,Q1,SOT-23,C20069139,1
100n,"C1,C5",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28233,2
4.7u,C4,C_1206_3216Metric,C29823,1
TLV61046ADB,U2,SOT-23-6,C464815,1
LMV393,U1,SOIC-8_3.9x4.9mm_P1.27mm,C544665,1
