Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,169.304,-67.996,180.0,top
C2,1n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,169.25,-65.5,180.0,top
C3,1u,C_1206_3216Metric,162.0,-51.25,-90.0,top
C4,4.7u,C_1206_3216Metric,162.0,-46.25,90.0,top
C5,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,169.5,-42.75,-90.0,top
D1,BZX84C18,SOT-23,172.75,-42.75,90.0,top
J1,Conn_01x07_Socket,XIAO_ESP32-C3_Custom_Connector,176.3,-90.38,180.0,top
J2,Conn_01x07_Socket,XIAO_ESP32-C3_Custom_Connector,158.0,-90.38,180.0,top
L1,10u,L_Chilisin_BMRA00040420,166.248,-51.74,0.0,top
Q1,MMBTA06,SOT-23,176.416,-66.472,180.0,top
R1,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,162.446,-69.012,0.0,top
R13,0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,180.8,-82.8,180.0,top
R14,0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,162.446,-75.108,180.0,top
R15,33k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,170.25,-46.75,-90.0,top
R16,1.6k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,170.312,-50.724,-90.0,top
R17,1.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,166.25,-41.75,0.0,top
R18,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,180.4,-98.0,0.0,top
R19,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,180.4,-95.489489,0.0,top
R2,680k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,162.446,-73.076,0.0,top
R20,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,180.4,-93.0,0.0,top
R21,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,180.8,-80.6,0.0,top
R22,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,180.8,-78.4,0.0,top
R23,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,180.8,-76.2,0.0,top
R3,15k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,162.446,-71.044,0.0,top
R4,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,172.75,-66.5,-90.0,top
R5,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,177.5,-70.5,-90.0,top
R6,8.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,176.25,-74.0,0.0,top
R7,1M,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,166.248,-44.12,0.0,top
R8,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,175.0,-70.5,-90.0,top
R9,200k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,165.748,-66.472,90.0,top
U1,LMV393,SOIC-8_3.9x4.9mm_P1.27mm,169.304,-72.06,0.0,top
U2,TLV61046ADB,SOT-23-6,166.248,-47.168,180.0,top
U4,~,RoomUnit_Connector_5mm,152.35,-60.2,0.0,top
